Name,ID
Blennophis anguillaris,5216
Blennophis striatus,5217
Blepsias bilobus,5223
Blepsias cirrhosus,5224
Blicca bjoerkna,5226
Bodianus albotaeniatus,5239
Bodianus anthioides,5240
Bodianus bathycapros,5242
Bodianus bilunulatus,5243
Bodianus bimaculatus,5244
Bodianus busellatus,5245
Bodianus cylindriatus,5246
Bodianus diana,5247
Bodianus dictynna,5248
Bodianus diplotaenia,5249
Bodianus eclancheri,5250
Bodianus flavifrons,5251
Bodianus flavipinnis,5252
Bodianus frenchii,5253
Bodianus insularis,5254
Bodianus izuensis,5255
Bodianus leucosticticus,5256
Bodianus macrognathos,5258
Bodianus macrourus,5259
Bodianus masudai,5260
Bodianus mesothorax,5261
Bodianus neilli,5262
Bodianus neopercularis,5263
Bodianus opercularis,5264
Bodianus oxycephalus,5265
Bodianus paraleucosticticus,5266
Bodianus perditio,5267
Bodianus prognathus,5268
Bodianus rubrisos,5270
Bodianus rufus,5271
Bodianus sanguineus,5272
Bodianus scrofa,5273
Bodianus sepiacaudus,5274
Bodianus solatus,5275
Bodianus speciosus,5276
Bodianus tanyokidus,5277
Bodianus trilineatus,5279
Bodianus unimaculatus,5280
Bodianus vulpinus,5281
Boleophthalmus boddarti,5323
Boleophthalmus pectinirostris,5325
Bolinichthys distofax,5346
Bolinichthys indicus,5347
Bolinichthys longipes,5348
Bolinichthys nikolayi,5349
Bolinichthys photothorax,5350
Bolinichthys pyrsobolus,5351
Bolinichthys supralateralis,5352
Bollmannia boqueronensis,5440
Bollmannia communis,5442
Bollmannia macropoma,5443
Bollmannia marginalis,5444
Bollmannia ocellata,5445
Bollmannia stigmatura,5446
Bollmannia umbrosa,5447
Bonapartia pedaliota,5465
Boops lineatus,5478
Boopsoidea inornata,5479
Boridia grossidens,5497
Borostomias elucens,5506
Borostomias mononema,5507
Bostrychus sinensis,5528
Bothrocara brunneum,5534
Bothrocara hollandi,5535
Bothrocara molle,5536
Bothrocara pusillum,5537
Bothus constellatus,5541
Bothus leopardinus,5542
