"","long","lat","loiczid"
"502",-89.25,30.75,85142
"503",-88.75,30.75,85143
"504",-88.25,30.75,85144
"505",-87.75,30.75,85145
"506",-87.25,30.75,85146
"507",-86.75,30.75,85147
"508",-86.25,30.75,85148
"509",-85.75,30.75,85149
"510",-85.25,30.75,85150
"511",-84.75,30.75,85151
"512",-84.25,30.75,85152
"513",-83.75,30.75,85153
"514",-83.25,30.75,85154
"515",-82.75,30.75,85155
"516",-82.25,30.75,85156
"517",-81.75,30.75,85157
"518",-81.25,30.75,85158
"519",-80.75,30.75,85159
"520",-80.25,30.75,85160
"521",-79.75,30.75,85161
"522",-79.25,30.75,85162
"523",-78.75,30.75,85163
"524",-78.25,30.75,85164
"525",-77.75,30.75,85165
"526",-77.25,30.75,85166
"527",-76.75,30.75,85167
"528",-76.25,30.75,85168
"529",-75.75,30.75,85169
"530",-75.25,30.75,85170
"531",-74.75,30.75,85171
"532",-74.25,30.75,85172
"533",-73.75,30.75,85173
"534",-73.25,30.75,85174
"535",-72.75,30.75,85175
"536",-72.25,30.75,85176
"537",-71.75,30.75,85177
"538",-71.25,30.75,85178
"539",-70.75,30.75,85179
"540",-70.25,30.75,85180
"541",-99.75,30.25,85841
"542",-99.25,30.25,85842
"543",-98.75,30.25,85843
"544",-98.25,30.25,85844
"545",-97.75,30.25,85845
"546",-97.25,30.25,85846
"547",-96.75,30.25,85847
"548",-96.25,30.25,85848
"549",-95.75,30.25,85849
"550",-95.25,30.25,85850
"551",-94.75,30.25,85851
"552",-94.25,30.25,85852
"553",-93.75,30.25,85853
"554",-93.25,30.25,85854
"555",-92.75,30.25,85855
"556",-92.25,30.25,85856
"557",-91.75,30.25,85857
"558",-91.25,30.25,85858
"559",-90.75,30.25,85859
"560",-90.25,30.25,85860
"561",-89.75,30.25,85861
"562",-89.25,30.25,85862
"563",-88.75,30.25,85863
"564",-88.25,30.25,85864
"565",-87.75,30.25,85865
"566",-87.25,30.25,85866
"567",-86.75,30.25,85867
"568",-86.25,30.25,85868
"569",-85.75,30.25,85869
"570",-85.25,30.25,85870
"571",-84.75,30.25,85871
"572",-84.25,30.25,85872
"573",-83.75,30.25,85873
"574",-83.25,30.25,85874
"575",-82.75,30.25,85875
"576",-82.25,30.25,85876
"577",-81.75,30.25,85877
"578",-81.25,30.25,85878
"579",-80.75,30.25,85879
"580",-80.25,30.25,85880
"581",-79.75,30.25,85881
"582",-79.25,30.25,85882
"583",-78.75,30.25,85883
"584",-78.25,30.25,85884
"585",-77.75,30.25,85885
"586",-77.25,30.25,85886
"587",-76.75,30.25,85887
"588",-76.25,30.25,85888
"589",-75.75,30.25,85889
"590",-75.25,30.25,85890
"591",-74.75,30.25,85891
"592",-74.25,30.25,85892
"593",-73.75,30.25,85893
"594",-73.25,30.25,85894
"595",-72.75,30.25,85895
"596",-72.25,30.25,85896
"597",-71.75,30.25,85897
"598",-71.25,30.25,85898
"599",-70.75,30.25,85899
"600",-70.25,30.25,85900
"601",-99.75,29.75,86561
"602",-99.25,29.75,86562
"603",-98.75,29.75,86563
"604",-98.25,29.75,86564
"605",-97.75,29.75,86565
"606",-97.25,29.75,86566
"607",-96.75,29.75,86567
"608",-96.25,29.75,86568
"609",-95.75,29.75,86569
"610",-95.25,29.75,86570
"611",-94.75,29.75,86571
"612",-94.25,29.75,86572
"613",-93.75,29.75,86573
"614",-93.25,29.75,86574
"615",-92.75,29.75,86575
"616",-92.25,29.75,86576
"617",-91.75,29.75,86577
"618",-91.25,29.75,86578
"619",-90.75,29.75,86579
"620",-90.25,29.75,86580
"621",-89.75,29.75,86581
"622",-89.25,29.75,86582
"623",-88.75,29.75,86583
"624",-88.25,29.75,86584
"625",-87.75,29.75,86585
"626",-87.25,29.75,86586
"627",-86.75,29.75,86587
"628",-86.25,29.75,86588
"629",-85.75,29.75,86589
"630",-85.25,29.75,86590
"631",-84.75,29.75,86591
"632",-84.25,29.75,86592
"633",-83.75,29.75,86593
"634",-83.25,29.75,86594
"635",-82.75,29.75,86595
"636",-82.25,29.75,86596
"637",-81.75,29.75,86597
"638",-81.25,29.75,86598
"639",-80.75,29.75,86599
"640",-80.25,29.75,86600
"641",-79.75,29.75,86601
"642",-79.25,29.75,86602
"643",-78.75,29.75,86603
"644",-78.25,29.75,86604
"645",-77.75,29.75,86605
"646",-77.25,29.75,86606
"647",-76.75,29.75,86607
"648",-76.25,29.75,86608
"649",-75.75,29.75,86609
"650",-75.25,29.75,86610
"651",-74.75,29.75,86611
"652",-74.25,29.75,86612
"653",-73.75,29.75,86613
"654",-73.25,29.75,86614
"655",-72.75,29.75,86615
"656",-72.25,29.75,86616
"657",-71.75,29.75,86617
"658",-71.25,29.75,86618
"659",-70.75,29.75,86619
"660",-70.25,29.75,86620
"661",-99.75,29.25,87281
"662",-99.25,29.25,87282
"663",-98.75,29.25,87283
"664",-98.25,29.25,87284
"665",-97.75,29.25,87285
"666",-97.25,29.25,87286
"667",-96.75,29.25,87287
"668",-96.25,29.25,87288
"669",-95.75,29.25,87289
"670",-95.25,29.25,87290
"671",-94.75,29.25,87291
"672",-94.25,29.25,87292
"673",-93.75,29.25,87293
"674",-93.25,29.25,87294
"675",-92.75,29.25,87295
"676",-92.25,29.25,87296
"677",-91.75,29.25,87297
"678",-91.25,29.25,87298
"679",-90.75,29.25,87299
"680",-90.25,29.25,87300
"681",-89.75,29.25,87301
"682",-89.25,29.25,87302
"683",-88.75,29.25,87303
"684",-88.25,29.25,87304
"685",-87.75,29.25,87305
"686",-87.25,29.25,87306
"687",-86.75,29.25,87307
"688",-86.25,29.25,87308
"689",-85.75,29.25,87309
"690",-85.25,29.25,87310
"691",-84.75,29.25,87311
"692",-84.25,29.25,87312
"693",-83.75,29.25,87313
"694",-83.25,29.25,87314
"695",-82.75,29.25,87315
"696",-82.25,29.25,87316
"697",-81.75,29.25,87317
"698",-81.25,29.25,87318
"699",-80.75,29.25,87319
"700",-80.25,29.25,87320
"701",-79.75,29.25,87321
"702",-79.25,29.25,87322
"703",-78.75,29.25,87323
"704",-78.25,29.25,87324
"705",-77.75,29.25,87325
"706",-77.25,29.25,87326
"707",-76.75,29.25,87327
"708",-76.25,29.25,87328
"709",-75.75,29.25,87329
"710",-75.25,29.25,87330
"711",-74.75,29.25,87331
"712",-74.25,29.25,87332
"713",-73.75,29.25,87333
"714",-73.25,29.25,87334
"715",-72.75,29.25,87335
"716",-72.25,29.25,87336
"717",-71.75,29.25,87337
"718",-71.25,29.25,87338
"719",-70.75,29.25,87339
"720",-70.25,29.25,87340
"721",-99.75,28.75,88001
"722",-99.25,28.75,88002
"723",-98.75,28.75,88003
"724",-98.25,28.75,88004
"725",-97.75,28.75,88005
"726",-97.25,28.75,88006
"727",-96.75,28.75,88007
"728",-96.25,28.75,88008
"729",-95.75,28.75,88009
"730",-95.25,28.75,88010
"731",-94.75,28.75,88011
"732",-94.25,28.75,88012
"733",-93.75,28.75,88013
"734",-93.25,28.75,88014
"735",-92.75,28.75,88015
"736",-92.25,28.75,88016
"737",-91.75,28.75,88017
"738",-91.25,28.75,88018
"739",-90.75,28.75,88019
"740",-90.25,28.75,88020
"741",-89.75,28.75,88021
"742",-89.25,28.75,88022
"743",-88.75,28.75,88023
"744",-88.25,28.75,88024
"745",-87.75,28.75,88025
"746",-87.25,28.75,88026
"747",-86.75,28.75,88027
"748",-86.25,28.75,88028
"749",-85.75,28.75,88029
"750",-85.25,28.75,88030
"751",-84.75,28.75,88031
"752",-84.25,28.75,88032
"753",-83.75,28.75,88033
"754",-83.25,28.75,88034
"755",-82.75,28.75,88035
"756",-82.25,28.75,88036
"757",-81.75,28.75,88037
"758",-81.25,28.75,88038
"759",-80.75,28.75,88039
"760",-80.25,28.75,88040
"761",-79.75,28.75,88041
"762",-79.25,28.75,88042
"763",-78.75,28.75,88043
"764",-78.25,28.75,88044
"765",-77.75,28.75,88045
"766",-77.25,28.75,88046
"767",-76.75,28.75,88047
"768",-76.25,28.75,88048
"769",-75.75,28.75,88049
"770",-75.25,28.75,88050
"771",-74.75,28.75,88051
"772",-74.25,28.75,88052
"773",-73.75,28.75,88053
"774",-73.25,28.75,88054
"775",-72.75,28.75,88055
"776",-72.25,28.75,88056
"777",-71.75,28.75,88057
"778",-71.25,28.75,88058
"779",-70.75,28.75,88059
"780",-70.25,28.75,88060
"781",-99.75,28.25,88721
"782",-99.25,28.25,88722
"783",-98.75,28.25,88723
"784",-98.25,28.25,88724
"785",-97.75,28.25,88725
"786",-97.25,28.25,88726
"787",-96.75,28.25,88727
"788",-96.25,28.25,88728
"789",-95.75,28.25,88729
"790",-95.25,28.25,88730
"791",-94.75,28.25,88731
