"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"3297","Fis-161071","Actinopterygii","Perciformes","Pomacentridae",12.384188096468,0.795386527740592,29.3513017458605,4.36638292757224,1.02321806746295,1.3656494641526,7.41619713415955,50,"reef-associated","tropical",NA,"short_andor_deep","NE","High",0.5,21.72,NA,NA
"3298","Fis-161073","Elasmobranchii","Rajiformes","Rajidae",105.828943676827,0.132917053088482,6686.18888004385,19.4898275276117,9.66350295967444,0.218569508636956,75.5972306755515,1500,"demersal","temperate","hunting macrofauna (predator)","other","LC","Low",0.625,59.46,"commercial","medium"
"3299","Fis-161080","Actinopterygii","Perciformes","Labridae",28.6780883606052,0.330419828304999,333.611170413121,8.97238027933105,2.32668490697313,0.650280325801431,15.4306239919947,18,"reef-associated","tropical",NA,"elongated","LC","Medium",0.75,33.05,NA,NA
"3300","Fis-161084","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,30,"demersal","tropical",NA,"elongated","NE","High",0.5,12.93,NA,NA
"3301","Fis-161086","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,25,"reef-associated","subtropical",NA,"fusiform_normal","NE","High",0.5,10,NA,NA
"3302","Fis-161089","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,30,"reef-associated","temperate",NA,"fusiform_normal","NE","High",0.5,10,NA,NA
"3303","Fis-161092","Actinopterygii","Perciformes","Xenisthmidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,35,"demersal","tropical",NA,"elongated","LC","High",0.502,10,NA,NA
"3304","Fis-161097","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,65,"demersal","temperate",NA,"fusiform_normal","LC","High",0.5039,10,NA,NA
"3305","Fis-161099","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,55,"demersal","temperate",NA,"elongated","NE","High",0.5,10,NA,NA
"3306","Fis-161116","Actinopterygii","Perciformes","Apogonidae",15.8163502647178,0.781521565663785,39.4383683178551,4.88355763483551,1.10594966297817,1.21034853105992,9.58819007929405,30,"reef-associated","tropical",NA,"short_andor_deep","NE","High",0.5,10,NA,NA
"3307","Fis-161117","Actinopterygii","Stomiiformes","Sternoptychidae",12.5879426045219,0.591541239586747,14.3596951542052,4.3721324119027,1.28152708470704,0.995086257157152,7.96396476840392,492,"pelagic","deep-water",NA,NA,"NE","High",0.5078,24.37,NA,NA
"3308","Fis-161120","Actinopterygii","Anguilliformes","Synaphobranchidae",94.107014194937,0.209076224187793,4288.18749016174,12.2445153509617,3.64082503943111,0.346140862079443,48.0746105134624,2000,"pelagic","tropical",NA,"eel_like","NE",NA,0.5156,30.45,NA,NA
"3309","Fis-161121","Actinopterygii","Albuliformes","Albulidae",64.6183674292335,0.300857937182854,3234.6695526431,9.21852021543575,2.7115599010535,0.537950789961034,33.9526270236216,NA,"reef-associated","tropical",NA,"fusiform_normal","DD","High",0.5007,30.93,NA,NA
"3310","Fis-161132","Actinopterygii","Pleuronectiformes","Soleidae",27.9805614328974,0.330044494582009,214.06735627153,11.504163931313,2.41207897289386,0.40368461923402,16.4921339739874,9,"demersal","tropical",NA,"short_andor_deep","NE","High",0.5,12.01,NA,NA
"3311","Fis-161133","Actinopterygii","Pleuronectiformes","Soleidae",27.9805614328974,0.330044494582009,214.06735627153,11.504163931313,2.41207897289386,0.40368461923402,16.4921339739874,18,"demersal","tropical",NA,"short_andor_deep","NE","High",0.5,12.01,NA,NA
"3312","Fis-161136","Actinopterygii","Pleuronectiformes","Soleidae",27.9805614328974,0.330044494582009,214.06735627153,11.504163931313,2.41207897289386,0.40368461923402,16.4921339739874,26,"reef-associated","tropical",NA,"short_andor_deep","NE","High",0.5,15.39,NA,NA
"3313","Fis-161137","Actinopterygii","Pleuronectiformes","Soleidae",27.9805614328974,0.330044494582009,214.06735627153,11.504163931313,2.41207897289386,0.40368461923402,16.4921339739874,26,"reef-associated","tropical",NA,"short_andor_deep","NE","High",0.5,10,NA,NA
"3314","Fis-161142","Actinopterygii","Pleuronectiformes","Soleidae",27.9805614328974,0.330044494582009,214.06735627153,11.504163931313,2.41207897289386,0.40368461923402,16.4921339739874,10,"demersal","temperate",NA,"short_andor_deep","LC","High",0.5,13.79,NA,"very high"
"3315","Fis-161155","Elasmobranchii","Rajiformes","Rajidae",188.414433931463,0.0923572318558271,35336.3330813041,17.7167260201567,9.3564290678586,0.184539105417066,109.747173161203,1328,"demersal","deep-water",NA,"other","LC","Low",0.5,66.09,NA,NA
"3316","Fis-161158","Elasmobranchii","Rajiformes","Rajidae",188.414433931463,0.0923572318558271,35336.3330813041,17.7167260201567,9.3564290678586,0.184539105417066,109.747173161203,606,"demersal","deep-water",NA,"other","LC","Medium",0.5,51.93,NA,NA
"3317","Fis-161161","Elasmobranchii","Rajiformes","Rajidae",188.414433931463,0.0923572318558271,35336.3330813041,17.7167260201567,9.3564290678586,0.184539105417066,109.747173161203,695,"pelagic","deep-water",NA,"other","DD","Medium",0.5,51.96,NA,NA
"3318","Fis-161162","Elasmobranchii","Rajiformes","Rajidae",188.414433931463,0.0923572318558271,35336.3330813041,17.7167260201567,9.3564290678586,0.184539105417066,109.747173161203,606,"demersal","deep-water",NA,"other","DD","Medium",0.5,51.91,NA,NA
"3319","Fis-161163","Actinopterygii","Perciformes","Malacanthidae",55.5405481670535,0.212560265201656,2203.70472450381,13.1811822554403,3.47880594880314,0.357335090244909,30.2436032082454,60,"demersal","tropical",NA,"fusiform_normal","NE","High",0.5001,23.46,NA,NA
"3320","Fis-161164","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,21,"reef-associated","tropical",NA,"elongated","NE","High",0.502,12.01,NA,NA
"3321","Fis-161167","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,10,"demersal","tropical",NA,"elongated","NE","High",0.5,11.53,NA,NA
"3322","Fis-161168","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,NA,"demersal","tropical",NA,"elongated","NE","High",0.5,13.37,NA,"very high"
"3323","Fis-161169","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,45,"reef-associated","tropical",NA,"elongated","NE","High",0.5,18.38,NA,"very high"
